zipcode,city,county_name,rent_amount
90006,Los Angeles,Los Angeles County,1919.125
02124,Boston,Suffolk County,2867.525
75072,McKinney,Collin County,2586.0492424242425
17331,Hanover,York County,1245.5555555555557
75070,McKinney,Collin County,1950.6789617486336
08901,New Brunswick,Middlesex County,2699.2953216374267
17601,Lancaster,Lancaster County,1916.711111111111
92620,Irvine,Orange County,3723.047536700788
27603,Raleigh,Wake County,1777.902857142857
37027,Brentwood,Williamson County,2386.735714285714
85338,Goodyear,Maricopa County,2151.110037573806
32703,Apopka,Orange County,2053.891414141414
24060,Blacksburg,Montgomery County,2163.8888888888887
46227,Indianapolis,Marion County,1478.138888888889
31088,Warner Robins,Houston County,1557.7727272727273
32246,Jacksonville,Duval County,1753.5654297561316
48228,Detroit,Wayne County,1109.0206552706552
92130,San Diego,San Diego County,4077.01150997151
93030,Oxnard,Ventura County,2509.583333333333
45040,Mason,Warren County,1986.2777777777776
92707,Santa Ana,Orange County,3071.2032828282827
77469,Rosenberg,Fort Bend County,1931.022222222222
30114,Canton,Cherokee County,2304.026418026418
90066,Los Angeles,Los Angeles County,3113.748682950192
91764,Ontario,San Bernardino County,2525.519841269841
27519,Cary,Wake County,1926.5394786961965
29732,Rock Hill,York County,1536.952380952381
89052,Henderson,Clark County,2026.9545934959351
95125,San Jose,Santa Clara County,3564.145833333333
45069,West Chester,Butler County,1824.4646464646464
07083,Union,Union County,2193.369047619048
20744,Fort Washington,Prince Georges County,1603.4027777777776
33414,Wellington,Palm Beach County,4296.705993431856
33064,Pompano Beach,Broward County,2669.567765567766
89129,Las Vegas,Clark County,1913.87095959596
99208,Spokane,Spokane County,1822.2546296296296
19320,Coatesville,Chester County,1404.1666666666667
28025,Concord,Cabarrus County,1800.716666666667
93458,Santa Maria,Santa Barbara County,2216.05
92504,Riverside,Riverside County,2564.722222222222
06511,New Haven,New Haven County,1867.9844804318489
60630,Chicago,Cook County,1468.6851851851852
60073,Round Lake,Lake County,2049.6666666666665
93063,Simi Valley,Ventura County,2889.0925925925926
32256,Jacksonville,Duval County,1668.147582972583
07306,Jersey City,Hudson County,2483.546331236897
84074,Tooele,Tooele County,1675.8333333333333
77044,Houston,Harris County,1717.71746031746
19020,Bensalem,Bucks County,1937.9444444444443
90813,Long Beach,Los Angeles County,1805.6364750445637
08873,Somerset,Somerset County,2642.263492063492
30263,Newnan,Coweta County,1755.4615384615383
