tree_id,spc_common,health,zipcode,status,latitude,longitude
178930,Sophora,Good,11385,Alive,40.70687246,-73.90344945
180333,Sophora,Good,11101,Alive,40.74040845,-73.92842895
172663,Sophora,Fair,11691,Alive,40.59570647,-73.74664284
208791,honeylocust,Good,10065,Alive,40.76395531,-73.96078214
208793,honeylocust,Good,10065,Alive,40.76382569,-73.96047463
194260,honeylocust,Good,10002,Alive,40.7206881,-73.98224174
184166,ginkgo,Good,10458,Alive,40.857482,-73.89295364
188408,Callery pear,Good,11372,Alive,40.74912139,-73.88962284
165046,Callery pear,Good,10312,Alive,40.55017691,-74.18409536
194919,Callery pear,Good,11230,Alive,40.61227657,-73.97144407
200201,Callery pear,Good,10314,Alive,40.58868167,-74.18913181
200210,Callery pear,Good,10314,Alive,40.58804692,-74.18811275
181351,Callery pear,Good,11105,Alive,40.77817309,-73.90396581
174172,Callery pear,Fair,10305,Alive,40.58451588,-74.08802746
189839,Callery pear,Good,11355,Alive,40.74831191,-73.82669147
189403,Callery pear,Fair,10027,Alive,40.80754134,-73.95861206
210535,honeylocust,Good,10457,Alive,40.84272939,-73.89970654
120819,swamp white oak,Fair,10011,Alive,40.74797175,-74.00705779
163121,swamp white oak,Good,11215,Alive,40.67232211,-73.98687389
163122,swamp white oak,Good,11215,Alive,40.67236842,-73.98683519
181988,scarlet oak,Fair,11230,Alive,40.62335909,-73.95630455
175957,swamp white oak,Poor,11226,Alive,40.65173426,-73.9602033
163721,swamp white oak,Poor,11694,Alive,40.57030076,-73.86052984
163722,swamp white oak,Poor,11694,Alive,40.57035358,-73.86056009
179765,scarlet oak,Good,11210,Alive,40.63745394,-73.95382789
149749,swamp white oak,Good,11222,Alive,40.73617912,-73.95234583
171159,swamp white oak,Good,11215,Alive,40.67179932,-73.98398918
179530,scarlet oak,Good,11230,Alive,40.62775076,-73.95962942
196477,scarlet oak,Good,11229,Alive,40.60327057,-73.93529399
